MQ135_raw,MQ3_raw,label
131,2281,clean_air
131,2430,clean_air
131,2376,clean_air
131,2284,clean_air
131,2163,clean_air
131,1989,clean_air
131,1803,clean_air
131,2030,clean_air
131,1966,clean_air
131,1778,clean_air
131,1783,clean_air
131,1718,clean_air
131,1955,clean_air
131,2063,clean_air
131,1911,clean_air
131,1996,clean_air
131,1980,clean_air
131,1879,clean_air
131,2068,clean_air
131,2231,clean_air
131,2138,clean_air
131,2265,clean_air
131,2099,clean_air
131,1933,clean_air
41,2145,clean_air
41,2063,clean_air
41,2038,clean_air
41,2029,clean_air
41,2060,clean_air
41,1997,clean_air
41,1933,clean_air
41,2114,clean_air
41,2089,clean_air
41,2128,clean_air
41,2052,clean_air
41,1981,clean_air
41,1973,clean_air
1069,2295,spray_1m
1069,2436,spray_1m
1069,2243,spray_1m
1069,2244,spray_1m
1069,2112,spray_1m
1069,2304,spray_1m
1069,2271,spray_1m
1069,2320,spray_1m
1069,2417,spray_1m
1069,2552,spray_1m
1069,2459,spray_1m
1200,2218,spray_1m
1355,2225,spray_1m
1355,2239,spray_1m
1355,2043,spray_1m
1380,1887,spray_1m
1331,1734,spray_1m
1122,1848,spray_1m
1122,1978,spray_1m
1122,2182,spray_1m
1093,2087,spray_1m
991,1942,spray_1m
991,2021,spray_1m
991,2219,spray_1m
991,2062,spray_1m
991,2052,spray_1m
991,2228,spray_1m
991,2284,spray_1m
991,2109,spray_1m
1044,2100,spray_1m
1044,2071,spray_1m
1016,2024,spray_1m
1044,2223,spray_1m
1069,2040,spray_1m
885,2065,spray_1m
885,2184,spray_1m
991,1978,spray_1m
1093,1971,spray_1m
1093,1850,spray_1m
1147,1680,spray_1m
1200,1847,spray_1m
1200,1920,spray_1m
1224,1953,spray_1m
1147,2051,spray_1m
1147,2171,spray_1m
1122,2194,spray_1m
1069,2258,spray_1m
1093,2067,spray_1m
1122,2003,spray_1m
1200,2131,spray_1m
1249,1931,spray_1m
1278,1860,spray_1m
1355,1780,spray_1m
1249,1941,spray_1m
1171,2090,spray_1m
1171,2101,spray_1m
1171,2144,spray_1m
1171,2176,spray_1m
1171,2003,spray_1m
1171,2009,spray_1m
1171,1868,spray_1m
1171,1993,spray_1m
1171,1912,spray_1m
1171,2053,spray_1m
1171,1915,spray_1m
1171,1784,spray_1m
1171,1804,spray_1m
1171,1788,spray_1m
1171,1884,spray_1m
1171,1970,spray_1m
1171,1999,spray_1m
1171,2060,spray_1m
1171,2171,spray_1m
1171,2144,spray_1m
1171,2117,spray_1m
1171,2164,spray_1m
1171,2136,spray_1m
1171,2214,spray_1m
1171,2177,spray_1m
1171,2197,spray_1m
1171,1983,spray_1m
1171,2045,spray_1m
1171,2048,spray_1m
1171,1960,spray_1m
1171,1991,spray_1m
1171,2181,spray_1m
1171,2252,spray_1m
1171,2318,spray_1m
1171,2158,spray_1m
1171,2339,spray_1m
1171,2222,spray_1m
1171,2152,spray_1m
1171,2124,spray_1m
